Timestamp,Voltage_V1N,Voltage_V2N,Voltage_V3N,Avg_Voltage_LN,Voltage_V12,Voltage_V23,Voltage_V31,Avg_Voltage_LL,Current_I1,Current_I2,Current_I3,Avg_Current,ActivePower_A,ActivePower_B,ActivePower_C,ReactivePower_A,ReactivePower_B,ReactivePower_C,ApparentPower_A,ApparentPower_B,ApparentPower_C,ActivePower_Total,ReactivePower_Total,ApparentPower_Total,PF_A,PF_B,PF_C,Avg_PF,Frequency,kWh
2025-04-14 15:10:47.028,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:10:48.728,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:10:50.428,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:10:52.138,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:10:54.598,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:10:57.119,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:10:59.849,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:11:01.403,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:11:02.901,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:11:04.485,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:11:06.071,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:11:07.610,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:11:10.097,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR
2025-04-14 15:11:26.865,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,CANCELLED
