Timestamp,Meter_Name,Meter_Model,Manufacturer,Product_ID_Number,Hardware_Detected,Supported_Features,Peak_Demand_Date_time,Accum_Energy_Reset_Time,AE_Delivered,AE_Received,AE_Del_Plus_Rec,AE_Del_Minus_Rec,RE_Delivered,RE_Received,RE_Del_Plus_Rec,RE_Del_Minus_Rec,APE_Delivered,APE_Received,APE_Del_Plus_Rec,APE_Del_Minus_Rec,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Current_Unbalance_A,Current_Unbalance_B,Current_Unbalance_C,Current_Unbalance_Worst,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,Voltage_Unbalance_AB,Voltage_Unbalance_BC,Voltage_Unbalance_CA,Voltage_Unbalance_LL_Worst,Voltage_Unbalance_AN,Voltage_Unbalance_BN,Voltage_Unbalance_CN,Voltage_Unbalance_LN_Worst,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,DPF_A,DPF_B,DPF_C,DPF_Total,PF_Total_IEC_F32,PF_Total_IEEE_F32,PF_Total_IEC_I16,PF_Total_IEEE_I16,Frequency,Accum_AE_Del,Accum_AE_Rec,Accum_AE_Sum,Accum_AE_Net,Accum_RE_Del,Accum_RE_Rec,Accum_RE_Sum,Accum_RE_Net,Accum_APE_Del,Accum_APE_Rec,Accum_APE_Sum,Accum_APE_Net,Pwr_Dem_Interval_Dur,Cur_Dem_Interval_Dur,RS485_Proto,RS485_Addr,RS485_Baud,RS485_Parity
2025-04-18 17:47:03.582,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017435696,0,0,0,0,0.017417714,0,0,0,0,0,0,0,0,79.930374,0,0,79.930374,0,0,0,0,0,0,0,0,0.0008512172,0,0,0.0008512172,0.0011087651,0,0,0.0011087651,0.001395851,0,0,0.001395851,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3839999999999999,-0.0064,-0.0064,0.37759999999999994,0.609687,-0.609687,610,-32159,50.081284,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:09.777,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017507449,0,0,0,0,0.017507449,0,0,0,0,0,0,0,0,79.98503,0,0,79.98503,0,0,0,0,0,0,0,0,0.0008555604,0,0,0.0008555604,0.0011090343,0,0,0.0011090343,0.0013990176,0,0,0.0013990176,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3839999999999999,-0.0064,-0.0064,0.37759999999999994,0.609077,-0.609077,609,-32159,50.068295,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:16.026,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017507449,0,0,0,0,0.017507449,0,0,0,0,0,0,0,0,80.00458,0,0,80.00458,0,0,0,0,0,0,0,0,0.0008532146,0,0,0.0008532146,0.0011089549,0,0,0.0011089549,0.0013991983,0,0,0.0013991983,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3838999999999999,-0.0064,-0.0064,0.37759999999999994,0.611107,-0.611107,611,-32157,50.06928,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:22.291,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017543215,0,0,0,0,0.017543215,0,0,0,0,0,0,0,0,79.979614,0,0,79.979614,0,0,0,0,0,0,0,0,0.00085272925,0,0,0.00085272925,0.0011088555,0,0,0.0011088555,0.0013988237,0,0,0.0014004965,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3838999999999999,-0.0064,-0.0064,0.37759999999999994,0.611209,-0.611209,611,-32157,50.077236,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:28.566,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017507449,0,0,0,0,0.017525341,0,0,0,0,0,0,0,0,79.99719,0,0,80.02386,0,0,0,0,0,0,0,0,0.00086056336,0,0,0.00086056336,0.0011128009,0,0,0.0011093564,0.001400604,0,0,0.001400604,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3838999999999999,-0.0064,-0.0064,0.37759999999999994,0.610449,-0.610449,610,-32157,50.06817,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:34.785,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017525341,0,0,0,0,0.017525341,0,0,0,0,0,0,0,0,79.95482,0,0,80.02444,0,0,0,0,0,0,0,0,0.0008547988,0,0,0.0008547988,0.0011096959,0,0,0.0011096959,0.0014005282,0,0,0.0014005282,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3839999999999999,-0.0064,-0.0064,0.37759999999999994,0.609862,-0.609862,610,-32158,50.060616,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:41.048,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.01756107,0,0,0,0,0.01756107,0,0,0,0,0,0,0,0,80.069336,0,0,80.069336,0,0,0,0,0,0,0,0,0.00085728156,0,0,0.00085728156,0.0011118649,0,0,0.0011118649,0.0014039855,0,0,0.0014039855,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3839999999999999,-0.0064,-0.0064,0.37759999999999994,0.610356,-0.610356,610,-32158,50.058704,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:47.319,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017489538,0,0,0,0,0.017489538,0,0,0,0,0,0,0,0,79.989685,0,0,79.989685,0,0,0,0,0,0,0,0,0.00085790944,0,0,0.00085790944,0.0011142113,0,0,0.0011142113,0.0014062274,0,0,0.0014036889,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3838999999999999,-0.0064,-0.0064,0.37759999999999994,0.611498,-0.611498,611,-32157,50.05936,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:53.542,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017489538,0,0,0,0,0.01757891,0,0,0,0,0,0,0,0,80.085045,0,0,80.085045,0,0,0,0,0,0,0,0,0.0008563391,0,0,0.0008563391,0.0011094437,0,0,0.0011094437,0.001400626,0,0,0.001400626,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3839999999999999,-0.0064,-0.0064,0.37759999999999994,0.610271,-0.610271,610,-32155,50.074272,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-18 17:47:59.696,Power Meter ,PM2120,Schneider Electric,15501,196608,35454976,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0.017543215,0,0,0,0,0.017543215,0,0,0,0,0,0,0,0,80.05352,0,0,80.04643,0,0,0,0,0,0,0,0,0.00085636496,0,0,0.00085636496,0.0011076726,0,0,0.0011076726,0.0014004128,0,0,0.0014004128,0.3844000000000001,-0.0064,-0.0064,0.3844000000000001,0.3838999999999999,-0.0064,-0.0064,0.37759999999999994,0.611486,-0.611486,611,-32157,50.09349,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
