Timestamp,Meter_Model,Manufacturer,Year_7reg,Month_7reg,Day_7reg,Hour_7reg,Minute_7reg,Second_7reg,Millisecond_7reg,Day_of_Week_7reg,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,Frequency,Peak_Demand_Date_time
2025-04-11 17:32:32.359,INVALID_UTF8_PATTERN,Schneider Electric,2025,4,11,18,22,5,0,65535,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,233.27122,NaN,NaN,-4.5918e-41,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,50.03788,2025-04-11 15:57:54
2025-04-11 17:32:35.665,INVALID_UTF8_PATTERN,Schneider Electric,2025,4,11,18,22,8,0,65535,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,233.17,NaN,NaN,-4.5918e-41,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,50.032337,2025-04-11 15:57:54
2025-04-11 17:32:38.965,INVALID_UTF8_PATTERN,Schneider Electric,2025,4,11,18,22,11,0,65535,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.94862,NaN,NaN,-4.5918e-41,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,READ_ERROR,READ_ERROR,READ_ERROR,READ_ERROR,50.023144,2025-04-11 15:57:54
