Timestamp,Meter_Model,Manufacturer,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,Frequency,Peak_Demand_Date_time
2025-04-11 21:00:23.708,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.21323,N/A_FLOAT32,N/A_FLOAT32,233.21323,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.147106,2025-04-11 21:48:00.000
2025-04-11 21:00:26.524,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.34859,N/A_FLOAT32,N/A_FLOAT32,233.34859,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.15576,2025-04-11 21:48:00.000
2025-04-11 21:00:29.287,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.35223,N/A_FLOAT32,N/A_FLOAT32,233.35223,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.15997,2025-04-11 21:48:00.000
2025-04-11 21:00:32.043,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.31778,N/A_FLOAT32,N/A_FLOAT32,233.31778,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.162178,2025-04-11 21:48:00.000
2025-04-11 21:00:34.810,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.34747,N/A_FLOAT32,N/A_FLOAT32,233.34747,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.164196,2025-04-11 21:48:00.000
2025-04-11 21:00:37.578,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.34029,N/A_FLOAT32,N/A_FLOAT32,233.34029,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.162735,2025-04-11 21:48:00.000
2025-04-11 21:00:40.346,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.40645,N/A_FLOAT32,N/A_FLOAT32,233.40645,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.159702,2025-04-11 21:48:00.000
2025-04-11 21:00:43.113,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.35187,N/A_FLOAT32,N/A_FLOAT32,233.3578,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.158756,2025-04-11 21:48:00.000
2025-04-11 21:00:45.880,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.43457,N/A_FLOAT32,N/A_FLOAT32,233.43457,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.156822,2025-04-11 21:48:00.000
2025-04-11 21:00:48.661,Power Meter ,Schneider Electric,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.34976,N/A_FLOAT32,N/A_FLOAT32,233.34976,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,50.154774,2025-04-11 21:48:00.000
