Timestamp,Meter_Model,Manufacturer,Peak_Demand_Date_time,AE_Delivered,AE_Received,AE_Del_Plus_Rec,AE_Del_Minus_Rec,RE_Delivered,RE_Received,RE_Del_Plus_Rec,RE_Del_Minus_Rec,APE_Delivered,APE_Received,APE_Del_Plus_Rec,APE_Del_Minus_Rec,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Current_Unbalance_A,Current_Unbalance_B,Current_Unbalance_C,Current_Unbalance_Worst,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,Voltage_Unbalance_AB,Voltage_Unbalance_BC,Voltage_Unbalance_CA,Voltage_Unbalance_LL_Worst,Voltage_Unbalance_AN,Voltage_Unbalance_BN,Voltage_Unbalance_CN,Voltage_Unbalance_LN_Worst,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,DPF_A,DPF_B,DPF_C,DPF_Total,PF_Total_IEC_F32,PF_Total_IEEE_F32,PF_Total_IEC_I16,PF_Total_IEEE_I16,Frequency,Accum_Energy_Reset_Time,Accum_AE_Del,Accum_AE_Rec,Accum_AE_Sum,Accum_AE_Net,Accum_RE_Del,Accum_RE_Rec,Accum_RE_Sum,Accum_RE_Net,Accum_APE_Del,Accum_APE_Rec,Accum_APE_Sum,Accum_APE_Net,Pwr_Dem_Interval_Dur,Cur_Dem_Interval_Dur,RS485_Proto,RS485_Addr,RS485_Baud,RS485_Parity
2025-04-11 21:21:56.089,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.08677141,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.08677141,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.44768,N/A_FLOAT32,N/A_FLOAT32,233.44768,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.01594163,N/A_FLOAT32,N/A_FLOAT32,0.01594163,0.012566107,N/A_FLOAT32,N/A_FLOAT32,0.012584473,0.020331837,N/A_FLOAT32,N/A_FLOAT32,0.020331837,0.3798999999999999,-0.0064,-0.0064,0.3798999999999999,0.3791,-0.0064,-0.0064,0.3759999999999999,0.785427,-0.785427,785,-31983,50.04421,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-11 21:22:01.445,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.08695238,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.08695238,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.31319,N/A_FLOAT32,N/A_FLOAT32,233.31319,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.015960736,N/A_FLOAT32,N/A_FLOAT32,0.015960736,0.012563353,N/A_FLOAT32,N/A_FLOAT32,0.012563353,0.020312138,N/A_FLOAT32,N/A_FLOAT32,0.020312138,0.3798999999999999,-0.0064,-0.0064,0.3798999999999999,0.3791,-0.0064,-0.0064,0.3759999999999999,0.785773,-0.785773,785,-31983,50.04637,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-11 21:22:06.753,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.08695238,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.08695238,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.32054,N/A_FLOAT32,N/A_FLOAT32,233.32054,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.01601258,N/A_FLOAT32,N/A_FLOAT32,0.01601258,0.012559709,N/A_FLOAT32,N/A_FLOAT32,0.012559709,0.02035065,N/A_FLOAT32,N/A_FLOAT32,0.02035065,0.3798999999999999,-0.0064,-0.0064,0.3798999999999999,0.379,-0.0064,-0.0064,0.3759999999999999,0.786633,-0.786633,787,-31981,50.038605,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-11 21:22:12.148,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.08695238,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.08695238,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.23921,N/A_FLOAT32,N/A_FLOAT32,233.23921,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0.016014671,N/A_FLOAT32,N/A_FLOAT32,0.016014671,0.012580051,N/A_FLOAT32,N/A_FLOAT32,0.0125287995,0.020327233,N/A_FLOAT32,N/A_FLOAT32,0.020327233,0.3798999999999999,-0.0064,READ_ERROR,0.3798999999999999,0.379,-0.0064,-0.0064,0.3759999999999999,0.787468,-0.787468,787,-31981,50.018745,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-11 21:22:17.565,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.45346,N/A_FLOAT32,N/A_FLOAT32,233.45346,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.990692,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
