Timestamp,Meter_Model,Manufacturer,Year_7reg,Month_7reg,Day_7reg,Hour_7reg,Minute_7reg,Second_7reg,Millisecond_7reg,Day_of_Week_7reg,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,Frequency,Peak_Demand_Date_time
2025-04-11 20:32:44.827,Power Meter ,Schneider Electric,2025,4,11,21,22,25,0,65535,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.48311,NaN,NaN,-4.5918e-41,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,50.084793,2025-04-11 15:57:54
2025-04-11 20:32:47.849,Power Meter ,Schneider Electric,2025,4,11,21,22,28,0,65535,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.50804,NaN,NaN,-4.5918e-41,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,50.07706,2025-04-11 15:57:54
2025-04-11 20:32:50.809,Power Meter ,Schneider Electric,2025,4,11,21,22,31,0,65535,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.54468,NaN,NaN,-4.5918e-41,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,50.068974,2025-04-11 15:57:54
