Timestamp,Meter_Model,Manufacturer,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,Frequency,Peak_Demand_Date_time
2025-04-11 20:45:10.659,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.50255,NaN,NaN,232.50255,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.124584,2025-04-11 15:57:00.000
2025-04-11 20:45:13.426,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.51628,NaN,NaN,232.51628,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.12062,2025-04-11 15:57:00.000
2025-04-11 20:45:16.236,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.48082,NaN,NaN,232.48082,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.117134,2025-04-11 15:57:00.000
2025-04-11 20:45:19.035,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.51114,NaN,NaN,232.51114,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.111507,2025-04-11 15:57:00.000
2025-04-11 20:45:21.849,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.47986,NaN,NaN,232.47986,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.106655,2025-04-11 15:57:00.000
2025-04-11 20:45:24.647,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.4244,NaN,NaN,232.4321,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.100834,2025-04-11 15:57:00.000
2025-04-11 20:45:27.445,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.45377,NaN,NaN,232.45377,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.09508,2025-04-11 15:57:00.000
2025-04-11 20:45:30.242,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.5006,NaN,NaN,232.5006,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.09017,2025-04-11 15:57:00.000
2025-04-11 20:45:33.056,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.44618,NaN,NaN,232.44618,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.08655,2025-04-11 15:57:00.000
2025-04-11 20:45:35.903,Power Meter ,Schneider Electric,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,232.3694,NaN,NaN,232.3694,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,-0.0064,-0.0064,-0.0064,-0.0064,50.08526,2025-04-11 15:57:00.000
